Time,Knee_gyro,Knee_accel,Knee_fusion,Ankle_gyro,Ankle_accel,Ankle_fusion
0.017412,-20.453850861266805,-20.461795482042195,-20.461795482042195,-53.82829326141418,-53.87038300785276,-53.87038300785276
0.02322,-20.44588884799353,-20.480697566504933,-20.45571739112304,-53.78586248918123,-53.84761149973106,-53.82936257517742
0.029032,-20.43790836518273,-20.490685087505263,-20.44975879387596,-53.74312295391938,-53.83003005177519,-53.78887650601033
0.034856,-20.429919441558344,-20.492585889555933,-20.44387791390127,-53.70012045427365,-53.81617670777742,-53.749327345283696
0.040668,-20.42193495382788,-20.486809880104108,-20.43787742426516,-53.65691604625052,-53.804213433617655,-53.71096080789133
0.046488,-20.41395773800586,-20.473002121489603,-20.431418739191137,-53.6135826857016,-53.792442995322745,-53.67385970901416
0.05232,-20.405966545406567,-20.451175743621445,-20.424137094435856,-53.57019695275519,-53.779581386421036,-53.6380020212489
0.058132,-20.397908069645293,-20.42313892564237,-20.41577604970262,-53.52683068273095,-53.76508329448066,-53.603327279364834
0.063932,-20.389696832619773,-20.39287126084424,-20.406244427444285,-53.48354629998015,-53.749226031694626,-53.56975384083558
0.069752,-20.381218957793326,-20.366025757350158,-20.39565385852994,-53.440395312289844,-53.732442526566665,-53.537187555866154
0.07556,-20.37233840972309,-20.348651138923987,-20.384315820453793,-53.39741693641021,-53.714694281218414,-53.50552197202536
0.081368,-20.362906446785463,-20.345156336322372,-20.372693639897484,-53.354635854509894,-53.69562257204935,-53.47463393470459
0.087184,-20.352773039989483,-20.356929926838518,-20.36132602185645,-53.31206013617882,-53.67496185910175,-53.444378863950725
0.093008,-20.341799159351986,-20.382602238383047,-20.350749275936632,-53.269679354757564,-53.652483684243705,-53.41458952027094
0.09882,-20.329871116466332,-20.419288429033198,-20.341441233890908,-53.227464635415636,-53.62749551325948,-53.38507873577925
0.104628,-20.316917077219546,-20.463855839044864,-20.33379781935229,-53.18537442861562,-53.5989305671902,-53.35564416770294
0.110452,-20.30292166574423,-20.513618665730373,-20.32813839354605,-53.14336597502241,-53.56612126776391,-53.3260739990442
0.116252,-20.287933738601357,-20.566583367124448,-20.324725346972038,-53.10140837048893,-53.528681626361475,-53.2961537945478
0.122068,-20.272066727282088,-20.621727796675895,-20.323782145004216,-53.05949347853277,-53.48574418978799,-53.26567821696172
0.127884,-20.255493531049883,-20.678840206718974,-20.325498173303714,-53.01764157447701,-53.43645090269667,-53.23447320328845
0.133692,-20.238435733159204,-20.737540939324067,-20.33001561108376,-52.97589827063441,-53.3813900381829,-53.202428248214304
0.139496,-20.221146641997635,-20.796573192262397,-20.337402574627184,-52.934323089461536,-53.32312940625153,-53.16952947953666
0.14532,-20.20389199092747,-20.853948368512565,-20.34762251324852,-52.89297653790495,-53.26531027598644,-53.1358787907884
0.15114,-20.186933442498557,-20.907242653706216,-20.360510381436704,-52.8519124980758,-53.211341732084165,-53.10168742793458
0.156952,-20.17051534877492,-20.953744871265922,-20.37576308368041,-52.81117626302072,-53.16361733565836,-53.06724457489758
0.162772,-20.154852827973407,-20.990808119616315,-20.39294614204995,-52.770804390910435,-53.12312286024896,-53.03287300435461
0.168592,-20.140123068933846,-21.01641263300973,-20.411513686161573,-52.730824248474185,-53.089555843852686,-52.99888800355515
0.1744,-20.12646185728976,-21.029338822125148,-20.43083653698958,-52.691253295964,-53.062181069776464,-52.96557130351606
0.180224,-20.11396080168282,-21.02892964276493,-20.450233860019498,-52.6520972089611,-53.04052021257942,-52.933160625049695
0.186036,-20.10266182955791,-21.015037030188182,-20.469006060376284,-52.61334651755346,-53.024381347779205,-52.9018476002024
0.191848,-20.092552939803166,-20.988101883872016,-20.486467108933848,-52.57497424920232,-53.01362686356867,-52.87177624533792
0.19766,-20.08356870662795,-20.949162956622953,-20.501974256097043,-52.53693677381148,-53.007700187782845,-52.84303681854752
0.203472,-20.075594662679052,-20.89978303629671,-20.51495284424702,-52.499177339568064,-53.00530441590075,-52.81565631130767
0.209304,-20.06847449695441,-20.841725214891458,-20.524914605324295,-52.46163118106368,-53.004677391269084,-52.78959251766548
0.215128,-20.062020822441582,-20.776592633971763,-20.53147178738321,-52.424231906460044,-53.00391164103227,-52.76473725168227
0.22094,-20.056029854195728,-20.705844069845195,-20.5343528376382,-52.38691791547011,-53.001288988938384,-52.74093094275581
0.226752,-20.050295464090638,-20.631246175488855,-20.533423479079204,-52.34963595246944,-52.99584943852879,-52.71798747923307
0.232564,-20.044616744815173,-20.555517386560066,-20.52871070841911,-52.312340560473764,-52.98749875290505,-52.695723350936646
0.238376,-20.03880183981259,-20.482515552125204,-20.52041979008082,-52.274991963227194,-52.97670102421408,-52.67398440057519
0.24418,-20.032674986878206,-20.416548533171092,-20.508932457044725,-52.23755527764005,-52.96438294222059,-52.65266593167924
0.249996,-20.02608539147322,-20.361339316254696,-20.49478156875995,-52.200001798730256,-52.95179470699775,-52.631723328856765
0.255808,-20.01891074484769,-20.31934927191159,-20.47860592921083,-52.16231098544361,-52.940225815162144,-52.61117317482428
0.261624,-20.011052630699012,-20.291836091087646,-20.46109321742415,-52.12447001417827,-52.93086262803762,-52.59108686703503
0.26744,-20.002427277708993,-20.279414301126913,-20.44291962861903,-52.0864702829287,-52.92472021017024,-52.571577477982025
0.273268,-19.992956507007673,-20.281918534871043,-20.42469201916235,-52.04830464369336,-52.92263853651571,-52.55278028259611
0.279076,-19.982560200606983,-20.297544589853704,-20.406897032838124,-52.00996617034387,-52.925144269606676,-52.53482783868373
0.284888,-19.97114910432048,-20.322976811340677,-20.389864118910364,-51.97144449692341,-52.93201748661158,-52.51782146439073
0.290708,-19.958619874209166,-20.354499521489597,-20.373748107694244,-51.932720402827094,-52.942100371284745,-52.50180425908074
0.296516,-19.94485577731831,-20.388561845468203,-20.358531706664095,-51.89376426026082,-52.95349932799097,-52.48674189151732
